word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
hovor	-	+	2	r	oo	o		"-uhovorenie, rozprávanie, rozhovor: tichý, veselý h.;miestny, medzimestský (telefonický) h.;"	
hrabáč	+	-	2	č	aá	á	č	"-akto hrabe (hrabľami);"	
hrab	+	-	1	b	a	a		"-alistnatý strom s tmavosivou kôrou, ;"	
hrabivec	+	-	3	c	aie	e	ec	"-vcahrabivý človek, chamtivec, lakomec"	
hráč	+	-	1	č	á	á		"-a 1. účastník nejakej hry: hazardný, falošný h., h. na ihrisku2. hudobník hrajúci na hud. nástroji: h-i orchestra;"	
hrachor	+	-	2	r	ao	o		"-alúčna al. záhradná popínavá rastlina s voňavým hroznovitým kvetenstvom,"	
hrach	-	+	1	ch	a	a		"-u 1. úžitková rastlina pestovaná pre semená v strukoch, 2. jej plody : suchý, lúpaný h.;jedlo z nich● slzy ako h-y veľké;hádzať, sypať h. na stenu márne hovoriť, napomínať;akoby h. na stenu hádzal, sypal všetko dohováranie je márne;(je) všade, kde sa tri h-y (v hrnci) varia do všetkého sa zamieša;"	
hračkár	+	-	2	r	aá	á		NOT FOUND	
hradlár	+	-	2	r	aá	á		"-apracovník obsluhujúci hradlo;"	
hrádok	-	+	2	k	áo	o	ok	"-dku"	
hrad	-	+	1	d	a	a		"-uveľké feud. opevnené sídlo: Spišský h., zrúcaniny h-u;Bratislavský h.;h. Červený Kameň, h. Krásna Hôrka;"	
hrádznik	+	-	2	k	ái	i	ik	NOT FOUND	
hrbáč	+	-	1	č	á	á	č	"-ahrbatý človek;"	
hrbáčik	+	-	2	k	ái	i	ik	"-a-ovia"	
hrbáň	+	-	1	ň	á	á		NOT FOUND	
hrbánik	+	-	2	k	ái	i	ik	NOT FOUND	
hrbček	+	-	1	k	e	e		"-a, hŕbok -bka, hŕbik -a"	
hŕbik	+	-	1	k	i	i	ik	NOT FOUND	
hŕbok	+	-	1	k	o	o	ok	NOT FOUND	
hrboľ	+	-	1	ľ	o	o		"-amenšia okrúhla vyvýšenina, hrbček: h. zeme, h-e na ceste;"	
hrboľček	+	-	2	k	oe	e	ček	"-a"	
hrbolec	+	-	2	c	oe	e	ec	"-lca(malý) hrboľ: robia sa mu h-e na koži"	
hrdina	-	+	2		ia	a		"-u-ovia 1. kto vyniká ušľachtilou odvahou, kto koná veľké činy: národný h., stať sa h-om2. ústredná postava lit. diela: kladný h.3. kto je predmetom obdivu: h. pretekov;stať sa h-om dňa;robiť (zo seba) h-u, robiť sa h-om predstierať hrdinstvo;"	
hrdlorez	+	-	2	z	oe	e		"-avrah, zločinec"	
hrebeň	+	-	2	ň	ee	e		"-a 1. nástroj so zubmi na česanie vlasov: kostený, ozdobný h.2. iný nástroj so zubmi : h. na zber čučoriedok rafáč; urovnávací h.3. výrastok na hlave niekt. vtákov: kohutí h.4. vrchná pretiahnutá úzka časť niečoho: horský h., h. vrchov, strechy, vĺn; h. vysokého tlaku pruh medzi 2 tlakovými nížami● rastie, narástol mu h. stal sa príliš sebavedomým, spyšnel;spľasol mu h. stratil sebavedomie, skrotol;"	артефакт
hrebienok	+	-	4	k	eieo	o	ok	"-nka, hrebenček -a"	
hrebenček	+	-	3	k	eee	e		NOT FOUND	
hriankovač	+	-	4	č	iaoa	a	č	"-aprístroj na opekanie chleba"	
hriech	-	+	2	ch	ie	e		"-u 1.prestúpenie Božieho zákona: smrteľný, ťažký h., všedný h., dopustiť sa h-u, páchať h-y2. vina, previnenie, poklesok: pykať za h-y (minulosti), h. proti prírode3.nepríjemnosti, mrzutosti: robiť v dome h., h (-y)● bol by (to) h. (neurobiť niečo) chyba;donebavolajúci h. veľký;"	абстрактное понятие
hriešnik	+	-	3	k	iei	i	ik	"-a-ci 1. hriešny človek: kajúci h.2.previnilec● starý h. nepolepšiteľný človek;"	
hrnček	+	-	1	k	e	e		"-a 1.hrniec2. nádoba na pitie s uškom; jej obsah: porcelánový h. na kávu;h. smotany;"	
hrnčíček	+	-	2	k	íe	e	íček	NOT FOUND	
hrnčisko	+	-	2		io	o		NOT FOUND	
hrniec	+	-	2	c	ie	e	ec	"-ncavyššia nádoba na varenie (s uchom, uchami); jej obsah: smaltovaný h.;mliečny h. na mlieko;tlakový h. v kt. sa varí pod tlakom;h. kapusty●→ kašľať ako starý h.; byť pri → mastnom h-i;nemať čo do h-a položiť trpieť núdzu;→ chudobnému aj z h-a vykypí;"	
hromovládca	-	+	4		ooáa	a		NOT FOUND	
hromozvod	-	+	3	d	ooo	o		"-ubleskozvod● byť, stať sa h-om objektom, na kt. sa prenáša zlosť"	
hrom	-	+	1	m	o	o		"-umocný, dunivý zvuk sprevádzajúci blesk; úder blesku: h-y bijú; zabil ho h.; (ba) h-a! silný zápor● ako h. z jasného neba nečakane, prekvapujúco;hľadieť ako h. do buka, duba zamračene;(urobiť niečo,) aj keby h-y bili v každom prípade;zvolávať na niekoho h-y-blesky hromžiť; v zahrešeniach: sto h-ov! h. a peklo!"	
hrotok	+	-	2	k	oo	o	ok	"-tkanádoba na dojenie mlieka, šechtár; jej obsah: h. mlieka"	
hrot	-	+	1	t	o	o		"-uostré zakončenie niečoho, špica , konček: h. meča, ceruzky;"	
hrudník	+	-	2	k	uí	í	ník	"-ahorná časť drieku: dobre vyvinutý h.;"	
hryzák	+	-	2	k	yá	á	ák	"-a predný zub niekt. zvierat"	
hubár	+	-	2	r	uá	á		"-akto chodí na huby, zaujíma sa o ne ap.;"	
hubertus	+	+	3	s	ueu	u		NOT FOUND	
hubiteľ	+	-	3	ľ	uie	e		NOT FOUND	
hudobník	+	-	3	k	uoí	í	ník	"-a-cikto hrá na hud. nástroji, zaoberá sa hudbou ap. ;"	
húf	+	+	1	f	ú	ú		"-a/-uneusporiadaná skupina ľudí al. zvierat , hŕba, hromada: h. detí, rýb;celé h-y množstvo;"	
húfik	+	-	2	k	úi	i	ik	"-a"	
hukot	-	+	2	t	uo	o	ot	"-uhučanie, lomoz, hrmot: h. vody, vlaku□ robiť h. hukotať"	
humbug	-	+	2	g	uu	u		"-u podvod, balamutenie"	
humorista	-	+	4		uoia	a		"-u 1. spisovateľ diel humorného obsahu2. človek oplývajúci humorom;"	
humor	-	+	2	r	uo	o		NOT FOUND	
huncút	+	-	2	t	uú	ú		"-afigliar, šibal, beťár, výmyselník, lapaj: h. chlapec huncútsky;"	
huncútik	+	-	3	k	uúi	i	ik	"-a-ci"	
hurhaj	+	-	2	j	ua	a		"-akrik, lomoz, haravara, huriavk: v dome je h., robiť h."	
hurikán	-	+	3	n	uiá	á		"-uorkán v oblasti Karibského mora"	
hutník	+	-	2	k	uí	í	ník	NOT FOUND	
hvezdár	+	-	2	r	eá	á		NOT FOUND	
hybrid	-	+	2	d	yi	i		"-ukríženec; miešanec;"	
hymnus	-	+	2	s	yu	u		"-nuchválospev, óda: h. na prírodu;"	
hypermangán	-	+	4	n	yeaá	á		"-udruh dezinfekčného prostriedku tmavofialovej farby;"	
hypnotizér	+	-	4	r	yoié	é		"-akto vie hypnotizovať;"	
hýrivec	+	-	3	c	ýie	e	ec	"-vcahýriaci, hýrivý človek"	
idealista	-	+	5		ieaia	a		"-u 1. stúpenec idealizmu2. nadšenec, rojko;"	
idealizmus	-	+	5	s	ieaiu	u		"-mu 1. filoz. smer vychádzajúci z prvotnosti duchovného, ideálneho princípu,materializmus2. nezištné nadšenie za ideály, oduševnenie: mladí sú naplnení i-om;"	абстрактное понятие
ideológ	+	-	4	g	ieoó	ó		"-a-oviatvorca al. hlásateľ istej ideológie: i. revolúcie, i. marxizmu, národný i.;"	
idiogram	-	+	4	m	iioa	a		NOT FOUND	
idiomatizmus	-	+	6	s	iioaiu	u		NOT FOUND	абстрактное понятие
idióm	-	+	3	m	iió	ó		NOT FOUND	абстрактное понятие
idiot	+	-	3	t	iio	o	ot	"-ačlovek postihnutý idiotizmom;"	
idiotizmus	-	+	5	s	iioiu	u	izmus	"-munajvyšší st. slabomyseľnosti, choromyseľnosť"	абстрактное понятие
idol	+	+	2	l	io	o		"-a/-upredmet zbožňovania, modla: stal sa i-om mládeže"	артефакт
ihlan	+	+	2	n	ia	a		"-a/-umnohosten, ktorého základňou je mnohouholník a bočnými stenami sú trojuholníky so spoločným vrcholom; takýto tvar: zrezaný i., pravidelný šesťboký i.;opracovať kamene do i-a;"	
ihlanček	+	-	3	k	iae	e	ček	"-a"	
ihličnan	+	-	3	n	iia	a		"-aihličnatý strom"	
iluzionista	-	+	6		iuioia	a		"-u 1. stúpenec iluzionizmu 2. kto sa oddáva ilúziám, rojko3. kto predvádza ilúzie ;"	
iluzionizmus	-	+	6	s	iuioiu	u		NOT FOUND	
imbecil	+	-	3	l	iei	i		"-a-i/-oviačlovek postihnutý imbecilitou;"	
imidž	+	+	2	dž	ii	i		"-a/-uvonkajšie pôsobenie, vzhľad; celkový dojem; dobré meno: dbať na i. firmy; zlepšiť si i."	абстрактное понятие
imitátor	+	-	4	r	iiáo	o		"-akto imituje, napodobňovateľ: i. vtákov, hercov;"	
imperatív	-	+	4	v	ieaí	í		"-u 1.rozkazovací spôsob2.príkaz, požiadavka: kategorický i.;"	абстрактное понятие
imperátor	+	-	4	r	ieáo	o		"-azvrchovaný vládca (cár, cisár ap.); (pôv.) čestný titul rím. vojvodcu;"	
imperialista	-	+	6		ieiaia	a		"-uuskutočňovateľ politiky imperializmu;"	
imperializmus	-	+	6	s	ieiaiu	u		"-mu 1. úsilie politicky, hospodársky a kultúrne ovládnuť cudzie územia al. národy2. podľa marxizmu-leninizmu najvyššie, monopolistické štádium kapitalizmu;"	абстрактное понятие
import	-	+	2	rt	io	o		"-udovoz (tovaru, služieb ap.),export: i. dreva, i. z Poľska;"	абстрактное понятие
impresionista	-	+	6		ieioia	a		"-ustúpenec impresionizmu;"	
impresionizmus	-	+	6	s	ieioiu	u		"-muumel. smer 2. polovice 19. stor. usilujúci sa o zachytenie chvíľkového dojmu, vnemu, nálady;"	
impulz	-	+	2	lz	iu	u		"-u 1. podnet, popud, pohnútka: tvorivý i.;dostať i. na niečo, čerpať i-y2.krátka zmena napätia, prúdu al. výkonu;"	
indikatív	-	+	4	v	iiaí	í		"-uoznam. spôsob;"	
infinitív	-	+	4	v	iiií	í		"-uneurčitok;"	
ingot	-	+	2	t	io	o	ot	"-ublok odliateho kovu (obyč. ocele) na ďalšie spracúvanie"	
iniciátor	+	-	5	r	iiiáo	o		"-akto dáva podnet, pôvodca, strojca: i. výstavy;"	
inotaj	-	+	3	j	ioa	a		"-ualegória: básnický i."	
inšpektor	+	-	3	r	ieo	o		"-akto koná inšpekciu ; označenie niekt. úradníkov: i. hygieny práce;školský, dopravný i.;"	
inšpektorát	-	+	4	t	ieoá	á	át	"-udozorný al. kontrolný úrad: dopravný i."	
inštinkt	-	+	2	nkt	ii	i		NOT FOUND	
inštitút	-	+	3	t	iiú	ú		"-u 1. ústav : fyzikálny i.2. v min. typ vys. školy: pedagogický i.3. inštitúcia : i. rodiny"	
inštruktor	+	-	3	r	iuo	o		"-akto inštruuje: lyžiarsky i., i. amatérskeho krúžku;"	
inštrumentalista	-	+	6		iueaia	a		NOT FOUND	
inštrumentár	+	-	4	r	iueá	á		"-akto podáva operujúcemu lekárovi nástroje;"	
intelektuál	+	-	5	l	ieeuá	á	ál	"-ačlovek s vyšším vzdelaním a rozumovými schopnosťami (obyč. pracujúci duševne), vzdelanec;"	
intelekt	-	+	3	kt	iee	e		"-urozumové schopnosti, rozum, um;"	
interdikt	-	+	3	kt	iei	i		NOT FOUND	
interes	-	+	3	s	iee	e		"-uzáujem□ mať i. (o niečo) zaujímať sa"	абстрактное понятие
internacionalista	-	+	8		ieaioaia	a		"-ustúpenec internacionalizmu ;"	
internacionalizmus	-	+	8	s	ieaioaiu	u		"-mu 1.medzinárodný ráz niečoho, medzinárodnosť: i. kongresu2. smer usilujúci sa o medzinárodné riešenie sociálnych, ekon., práv. a iných otázok3.cudzie slovo použ. vo viacerých príbuzných a nepríbuzných jazykoch vychádzajúce obyč. z gréc.-lat. základu;"	абстрактное понятие
internát	-	+	3	t	ieá	á		"-uustanovizeň na kolektívne ubytovanie, stravovanie (a výchovu) žiakov, študentov ap.: vysokoškolský, chlapčenský i.;"	
internetista	-	+	5		ieeia	a		NOT FOUND	
internet	-	+	3	t	iee	e		NOT FOUND	
internista	-	+	4		ieia	a		NOT FOUND	
interpret	+	-	3	t	iee	e		"-akto predvádza (umel. dielo): profesionálny i.;i-i populárnej hudby;"	
interpretátor	+	-	5	r	ieeáo	o		"-akto vykladá, vysvetľuje niečo; vykladač2: i. zákona;"	
intravilán	-	+	4	n	iaiá	á		"-uzastavaná al. na zástavbu určená časť územia obce,extravilán: chalupa leží v i-e;"	
intrigán	+	-	3	n	iiá	á		"-akto intriguje;"	
iný	-	-	2		iý	ý		NOT FOUND	
inzerát	-	+	3	t	ieá	á		"-uplatené tlačové oznámenie : prihlásiť sa na i.;dať do novín i.;"	
istič	+	-	2	č	ii	i	č	"-aspínač vypínajúci prúd pri preťažení"	
íverček	+	-	3	k	íee	e		"-a"	
izochronizmus	-	+	5	s	iooiu	u		NOT FOUND	абстрактное понятие
izolacionista	-	+	7		ioaioia	a		NOT FOUND	
izolacionizmus	-	+	7	s	ioaioiu	u		NOT FOUND	абстрактное понятие
jadrovník	+	-	3	k	aoí	í	ník	"-ablanité puzdrá so semenami v dužine malvíc"	
jaseň	+	-	2	ň	ae	e		"-a 1. listnatý strom s bielym pružným drevom, 2. jaseňové drevo; výrobok z neho: lyže z j-a3. (plastová) dyha štruktúrou a farbou podobná tomuto drevu;"	
jaskyniar	+	-	4	r	ayia	a		"-a 1. odborník v jaskyniarstve, speleológ2. športovec pestujúci jaskynnú turistiku;"	
jasličkár	+	-	3	r	aiá	á		"-adieťa, kt. je v opatere det. jasieľ"	
jasnovidec	+	-	4	c	aoie	e	ec	NOT FOUND	
jasot	-	+	2	t	ao	o	ot	"-ujasanie, plesanie: j. publika"	
jas	-	+	1	s	a	a		"-usilné biele svetlo, žiara: j. slnka, lámp;ráno plné j-u;"	
jav	-	+	1	v	a	a		"-učo možno zmyslovo pozorovať : spoločenský j.;negatívne j-y (spoločnosti);fyzikálne, prírodné j-y úkazy;"	
jazdec	+	-	2	c	ae	e	ec	NOT FOUND	
jazýček	+	-	3	k	aýe	e		NOT FOUND	
jazyčisko	+	-	4		ayio	o		NOT FOUND	
jazyk	+	-	2	k	ay	y		"-a 1. pohyblivý svalnatý útvar v ústnej dutine , orgán chuti; 1 z orgánov ľudskej reči: oblízať j-om, vyplaziť j.;bravčový, údený j.2. čo sa podobá jazyku pozdĺžnym úzkym tvarom: snehové j-y;j. v topánke;v názvoch rastlín: jelení j., hadí j.3. sústava vyjadrovacích znakových prostriedkov istého spoločenstva, kt. slúži ako nástroj myslenia, dorozumievania a ukladania poznatkov; jej čiastkový útvar, reč: slovenský j.;slovanské, románske j-y;učiť sa cudzie j-y;spisovný j.;štúrovský, bernolákovský j. spis. slovenčina kodifikovaná Štúrom, Bernolákom;j. Hviezdoslava;odborný j.● mať j. (ostrý) ako britva, ako žihadlo, mať štipľavý, ostrý j. ubližovať rečou; byť uštipačný, ostro hovoriť;mať dlhý, veľký, podrezaný j. byť jazyčnatý, hašterivý;→ zlé j-y (hovoria, vravia);mlieť j-om, j. mu ide ako mlyn veľa a rýchle hovorí;má ťažký j., j. sa mu pletie ťažko rozpráva, obyč. od opitosti;j. sa mu potkol povedal, čo nechcel;→ drať si j. nadarmo;povie, tára, čo mu na j. príde,čo mu slina na j. prinesie nekontroluje sa pri reči; → stúpať si na j.;(mať) → dar j-a; mať → dušu na j-u;mať niečo na j-u nemôcť si spomenúť na výraz;→ d(áv)ať si pozor na j.; držať j. za zubami mlčať;→ rozviazať niekomu j.;j. sa mu rozviazal a) rozhovoril sa b)začal rozprávať;skoro si j. zlomil ťažko vyslovoval (nezvyčajné slová);→ sliny sa mu zbiehajú na j-u;"	абстрактное понятие
jazykovedec	+	-	5	c	ayoee	e	ec	"-dcaodborník v jazykovede, lingvista;"	
jedák	+	-	2	k	eá	á	ák	"-a-ci 1. kto rád (veľa) je: veľký j. múčnikov2.človek, ktorého treba nasýtiť: v rodine je veľa j-ov"	
jedenapolnásobok	-	+	7	k	eeaoáoo	o	ok	NOT FOUND	
jedináčik	+	-	4	k	eiái	i	ik	"-a-oviajediné dieťa : ostal j."	
jednotkár	+	-	3	r	eoá	á		"-ažiak, kt. má prospech na jednotku;"	
jednotlivec	+	-	4	c	eoie	e	ec	"-vcajednotlivý človek, indivíduum: podľa j-ov nemožno posudzovať celú spoločnosť;preteky j-cov (v športe);"	
jed	-	+	1	d	e	e		"-u 1. látka, kt. poškodzuje, ničí organizmy; otrava: včelí, hadí j.;otráviť j-om2.zlosť, hnev: schytil ho j.●to je do j-u hnevá to;vyliať si j. na niekom, niečom vyvŕšiť sa;"	вещество
ježiško	+	-	3		eio	o		NOT FOUND	
judaizmus	-	+	4	s	uaiu	u		"-mužidovské náboženstvo;"	
junák	+	-	2	k	uá	á	ák	"-a-cimladík, mládenec;"	
juniáles	-	+	4	s	uiáe	e		NOT FOUND	
junior	+	-	3	r	uio	o		NOT FOUND	
junker	+	-	2	r	ue	e		NOT FOUND	
kabaret	-	+	3	t	aae	e		"-u 1. zábavný tanečno-hud. humoristický, príp. artistický program: silvestrovský k.2. podnik s takýmto programom: ísť do k-u;"	
kabát	+	-	2	t	aá	á		"-avrchný odev s rukávmi kryjúci v rozlič. miere telo od pliec dolu: dlhý, zimný k. zvrchník, plášť;nohavice s k-om sakom;pyžamový, kostýmový k.● obrátiť, prevrátiť k. zmeniť presvedčenie;→ vyprášiť niekomu k.;bližšia → košeľa ako k.;"	
kabátec	+	-	3	c	aáe	e	ec	"-tcaľahký krátky kabát: kožený k."	
kabátik	+	-	3	k	aái	i	ik	"-a : detský, nočný k."	
kábelogram	-	+	4	m	áeoa	a		"-utelegram poslaný podmorským káblom"	
kabinetík	+	-	4	k	aieí	í	ík	"-a"	
kabinet	-	+	3	t	aie	e		"-u 1. miestnosť na škol. pomôcky: zemepisný, fyzikálny k.2. menšie výskumné al. metodické pracovisko: fonetický k., orientalistický k.3. ministri, vláda : vládny k. vláda;britský k.;"	
káblik	+	-	2	k	ái	i	ik	NOT FOUND	
kacír	+	-	2	r	aí	í		"-a 1. vyznávač učenia odchylného od oficiálnej cirk. náuky, heretik, bludár2. zástanca názorov nesúhlasiacich s platnými doktrínami (v umení, politike ap.), úchylkár;"	
kaderník	+	-	3	k	aeí	í	ník	"-a-ciodborník na úpravu žen. účesov; holič: ísť ku k-ovi;"	
kadet	+	-	2	t	ae	e		"-a 1. frekventant dôstojníckej školy, ašpirant na dôstojnícku hodnosť 2. športovec vekovej kategórie mladších juniorov do 17 rokov;"	
kajak	+	-	2	k	aa	a		"-aľahké dlhé šport. plavidlo poháňané pádlom s listami na obidvoch koncoch;"	
kajakár	+	-	3	r	aaá	á	ár	"-akto pestuje kajakárstvo;"	
kajúcnik	+	-	3	k	aúi	i	ik	NOT FOUND	
kalamárik	+	-	4	k	aaái	i	ik	NOT FOUND	
kalambúr	-	+	3	r	aaú	ú		NOT FOUND	
kalcit	-	+	2	t	ai	i		NOT FOUND	
kaleidoskop	-	+	5	p	aeioo	o		"-u 1. zrkadlová hračka tvoriaca pri otáčaní súmerné obrazce z pestrofarebných sklíčok2. rýchle striedanie niečoho; pestrá zmes dojmov, pojmov ap.: k. nálad, piesní;"	
kalendárik	+	-	4	k	aeái	i	ik	"-a"	
kalerábik	+	-	4	k	aeái	i	ik	"-a"	
kaleráb	-	+	3	b	aeá	á		"-uzelenina pestovaná pre guľovitú dužinatú byľ, ;jedlo z nej: plnený, dusený k.;"	
kalich	+	-	2	ch	ai	i		"-a 1. ozdobná kovová nádoba na stopke použ. pri bohoslužbách; jej podobná nádoba na pitie, čaša: zlatý k., k. vína2.zelený kvetný obal z voľných al. zrastených lístkov3.kvet podobný kalichu: k. ľalie●→ vypiť k. horkosti (až do dna);"	
kaligraf	+	-	3	f	aia	a		NOT FOUND	
kamarát	+	-	3	t	aaá	á		"-a 1. priateľ, druh: verný, starý k., zachovať sa ako k.; k-i na život a na smrť verní2.dôverné oslovenie: to vám, k-i, neprejde;poď sem, k.● k-i z mokrej štvrte spoločníci pri víne, pive ap.;"	
kamarátik	+	-	4	k	aaái	i	ik	"-a;"	
kameň	+	-	2	ň	ae	e		"-a 1. tvrdá hornina al. úlomok z nej, skala: lomový k., potknúť sa o k., tvrdý ako k., hodiť k. do vody2. opracovaný kus tejto horniny: mlynský, náhrobný k.;drahé, vzácne k-e drahokamy;uholný k.opora;základný k.základ;skúšobný k. na skúšanie drahých kovovmeradlo stavu vecí3. usadenina podobná kameňu: kotlový k., zubný k., močový, obličkový k.● k. úrazu príčina ťažkostí;zmrznúť na k. celkom;na dohodenie k-om blízko;mať srdce z k-a byť bezcitný;odpadol, spadol mu k. zo srdca uľavilo sa mu;byť medzi → dvoma (mlynskými) k-mi;padla → kosa na k.;neostal k. na k-i všetko bolo zničené;uviazať, zavesiť si k. na krk vziať na seba ťažkú povinnosť;hodiť po niekom k-om odsúdiť ho;"	
kamenár	+	-	3	r	aeá	á		"-akto obrába kameň;"	
kamenček	+	-	3	k	aee	e		NOT FOUND	
kamenec	+	-	3	c	aee	e	ec	"-nca 1. ľadovec, krúpy2. vo vode rozpustná chem. zlúčenina použ. v garbiarstve, kozmetike, farbiarstve ap.;"	
kameňolom	-	+	4	m	aeoo	o		"-umiesto na povrchové dobývanie kameňa, lom"	
kameňorytec	+	-	5	c	aeoye	e	ec	NOT FOUND	
kameňoryt	-	+	4	t	aeoy	y		"-ugraf. technika, pri kt. sa obraz vyrýva do litografického kameňa; odtlačok tohto obrazu"	
kameraman	+	-	4	n	aeaa	a		"-akto obsluhuje kameru: televízny k."	
kamienok	+	-	4	k	aieo	o	ok	"-nka, kamenček -a : hádzať k-y do vody;žlčové, močové k-nky;k-ok do zapaľovača"	
kamión	+	-	3	n	aió	ó		"-a(diaľkový) ťažký krytý nákladný automobil;"	
kamizol	+	-	3	l	aio	o		"-a , kamizola -y -zolkrátky kabát ako súčasť kroja, rovnošaty ap.: pracovná k.;"	
kanálik	+	-	3	k	aái	i	ik	NOT FOUND	
kandidát	+	-	3	t	aiá	á		"-a 1. uchádzač o nejaký úrad, funkciu, členstvo ap.: k-i na poslancov mestských zastupiteľstiev, navrhnúť k-a na úrad prezidenta;k. na profesúru čakateľ; k. na medailu2. k. vied nižší st. ved. hodnosti v niekt. štátoch,CSc.: k. filozofických vied;"	
kanibal	+	-	3	l	aia	a		"-aľudožrút, ľudojed;"	
kanibalizmus	-	+	5	s	aiaiu	u	izmus	"-muľudožrútstvo, ľudojedstvo"	
kanón	+	-	2	n	aó	ó		"-adelo: protilietadlový k., vystreliť z k-a;"	
kanonier	+	-	4	r	aoie	e		"[-ňie-] -adelostrelec;"	
kanonik	+	-	3	k	aoi	i	ik	"-a-cicirk. hodnostár, člen kapituly pri biskupskom chráme;"	
kanónik	+	-	3	k	aói	i	ik	NOT FOUND	
kánon	-	+	2	n	áo	o		"-u 1. súbor všeobecne platných zásad, norma: básnický k.2.zoznam inšpirovaných bibl. spisov3.pravda viery záväzne predložená v cirk. dokumentoch4.ústredná časť omše s eucharistickou modlitbou: Rímsky k.5. hud. forma, pri kt. sa v slede hlasov opakujú za sebou rovnaké melodické a rytmické postupy;"	абстрактное понятие
kaňon	-	+	2	n	ao	o		"-uhlboké a strmé riečne údolie zovreté skalami"	
kantón	-	+	2	n	aó	ó		NOT FOUND	
kapitálik	+	-	4	k	aiái	i	ik	"-a"	
kapitalista	-	+	5		aiaia	a		"-u 1.vlastník výr. prostriedkov, cenných papierov, vkladateľ kapitálu do istého podniku2. kto má príjem takmer výlučne z kapitálových výnosov; boháč;"	
kapitalizmus	-	+	5	s	aiaiu	u		"-mupolit.-ekon. systém trhovej ekonomiky charakterizovaný slobodným súkromným podnikaním a rozvojom tech. kapitálu (výr. prostriedkov), ktorý funguje obyč. v rámci demokratického polit. systému;"	
kaplán	+	-	2	n	aá	á		"-akňaz pomáhajúci pri duchovnej správe: katolícky k.;"	
karatista	-	+	4		aaia	a		"-ukto pestuje karate ako šport;"	
karát	-	+	2	t	aá	á		"-u 1. jednotka rýdzosti zlata2. jednotka hmotnosti drahých kameňov a perál (0,2 g);"	
karavaning	-	+	4	ng	aaai	i		NOT FOUND	
karavanista	-	+	5		aaaia	a		"-ukto jazdí na karavane"	
karavan	-	+	3	n	aaa	a		"-uobytný automobil; obytný príves k automobilu;"	
karbid	-	+	2	d	ai	i		"-uzlúčenina uhlíka s iným kovovým prvkom●→ kvapká mu na k.;"	
karbolín	-	+	3	n	aoí	í	ín	"-udechtový olej použ. na impregnáciu dreva ap."	
karbonát	-	+	3	t	aoá	á		NOT FOUND	
karbonit	-	+	3	t	aoi	i		NOT FOUND	
karbón	-	+	2	n	aó	ó		"-u 1.útvar mladších prvohôr, v kt. vzniklo čierne uhlie2. zvyšok po spaľovaní"	
karboxyl	-	+	3	l	aoy	y		NOT FOUND	
karneol	-	+	3	l	aeo	o		NOT FOUND	
kartár	+	-	2	r	aá	á		"-akto (rád) hrá karty;"	
kartón	-	+	2	n	aó	ó		"-u 1. tvrdý hrubší papier; škatuľa ap. z neho: (za) k. vajec2. maľba na tvrdom papieri;"	
kasár	+	-	2	r	aá	á		"-akto vykráda pokladnice, trezory ap.;"	
kašeľ	+	-	2	ľ	ae	e		"-šľahlasné vyrážanie vzduchu pri podráždení al. chorobe dýchacích ciest: suchý k., čierny k., záchvat k-a, dráždi ma na k.□ mať k. kašlať;"	
kaštieľ	+	-	3	ľ	aie	e		"-aväčšia (umelecky cenná) stavba vybudovaná v min. ako sídlo šľachty: zemiansky, barokový k.;dom ako k. výstavný;"	
kaštielik	+	-	4	k	aiei	i	ik	"-a"	
katalóg	-	+	3	g	aaó	ó		"-usúpis vecí, osôb usporiadaný podľa istého kritéria: autorský, čitateľský k., obchodný k.;"	
katan	+	-	2	n	aa	a		"-atyran, ukrutník, trýzniteľ: správa sa ako k.;"	
katapult	-	+	3	lt	aau	u		"-u 1. zariadenie na prudké odštartovanie lietadla na krátkej dráhe (napr. na lodi)2. mechanizmus na vystrelenie pilota z lietadla"	артефакт
kazak	-	+	2	k	aa	a		"-uvoľná blúza siahajúca na boky;"	
kazateľ	+	-	3	ľ	aae	e		"-a-iakto káže : bol dobrým k-om;"	
každý	-	-	2		aý	ý		NOT FOUND	
kazisvet	+	-	3	t	aie	e		"-asvojvoľný ničiteľ (vecí)"	
kazivec	+	-	3	c	aie	e	ec	"-vcanerast použ. na výr. zlúčenín fluóru a na výr. šošoviek, fluorit"	
kaz	-	+	1	z	a	a		"-u(menšie) porušenie povrchu niečoho; chyba: k. v látke;zubný k.;"	абстрактное понятие
kefár	+	-	2	r	eá	á		"-avýrobca kief;"	
keksík	+	-	2	k	eí	í	ík	"-a"	
keks	-	+	1	ks	e	e		"-u (drobné) trvanlivé pečivo, sušienka: sladké, slané k-y, k-y k čaju;"	
kemping	-	+	2	ng	ei	i		NOT FOUND	
kempista	-	+	3		eia	a		"-ukto kempuje"	
kemp	-	+	1	mp	e	e		"-u(auto)kemping : bývať v k-e;"	
keramikár	+	-	4	r	eaiá	á		"-apracovník v keramikárstve;"	
keratín	-	+	3	n	eaí	í	ín	NOT FOUND	
ketón	-	+	2	n	eó	ó		NOT FOUND	
kladivár	+	-	3	r	aiá	á		NOT FOUND	
kladkostroj	+	-	3	j	aoo	o		NOT FOUND	
klad	-	+	1	d	a	a		"-ukladná stránka niečoho,zápor: vyzdvihnúť k-y diela, k. povahy"	
kľag	-	+	1	g	a	a		"-uteľací žalúdok použ. na zrážanie mlieka"	
