word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
десерт	+	-	2	рт	ее	е		"фрукты или сладкое блюдо, подаваемое в конце обеда, третье N4"	
десигнат	+	-	3	т	еиа	а		NOT FOUND	
десикант	+	-	3	нт	еиа	а		"[лат. desiccare высушивать] — хим. вещества, применяемые дляподсушивания растений на корню (десикации), напр, нек-рые гербициды, серная имышьяковая кислоты, хлораты магния, кальция, натрия."	
десикатор	+	-	4	р	еиао	о		NOT FOUND	
дескриптор	+	-	3	р	еио	о		"[позднелат. descriptor лат. describere описывать] —лексическая единица (слово, словосочетание) информационно-поискового языка,служащая для описания основного смыслового содержания документа (текста)."	
деспотизм	+	-	3	зм	еои	и	изм	"поведение деспота N2; самовластное правление"	
деструктор	+	-	3	р	еуо	о		NOT FOUND	
десублиматор	+	-	5	р	еуиао	о		NOT FOUND	
десятерик	+	-	4	к	еяеи	и	ик	"старая русская мера (веса, объема, счета), содержащая десять каких-нибудь единиц; предмет такого веса, объема"	артефакт
десятигранник	+	-	5	к	еяиаи	и	ник	NOT FOUND	
десятитомник	+	-	5	к	еяиои	и	ник	NOT FOUND	
десятиугольник	+	-	6	к	еяиуои	и	ник	NOT FOUND	
десятицентовик	+	-	6	к	еяиеои	и	ик	NOT FOUND	
десяток	+	-	3	к	еяо	о	ок	"предпоследняя цифра многозначного числа; десять лет возраста; счетная единица, равная десяти; десять одинаковых предметов"	
десяточек	+	-	4	к	еяое	е	очек	NOT FOUND	
детандер	+	-	3	р	еае	е		"[фр. detendre уменьшать давление лат. detendere ослаблять]— 1) клапан, уменьшитель давления пара; 2) машина для охлаждения газа путем егорасширения с отдачей внешней работы; используется в установках дл я сжижения иразделения газовых смесей методом глубокого охлаждения, в установках, имитирующих высотные и космические условия, и т. д.; наиболее распространеныпоршневые детандеры (см. также турбодстандср)."	
детдом	+	-	2	м	ео	о		"детский дом"	
детектафон	+	-	4	н	ееао	о		NOT FOUND	
детектив	+	-	3	в	ееи	и	ив	"специалист по расследованию уголовных преступлений; литературное произведение или фильм, изображающие раскрытие запутанных преступлений"	
детективчик	+	-	4	к	ееии	и	чик	NOT FOUND	
детектор	+	-	3	р	еео	о		"физический прибор для обнаружения радиоактивного или теплового излучения, а также различных частиц 1 N2; устройство для преобразования электрических колебаний"	артефакт
детергент	+	-	3	нт	еее	е		NOT FOUND	
детерминант	+	-	4	нт	ееиа	а		"[лат. determinans (deter-minantis) определяющий] — мат.определитель, выражение, составленное из элементов матрицы; с помощьюдетерминанта находятся решения линейных систем уравнений."	
детерминатив	+	-	5	в	ееиаи	и	ив	"[лат. determinare определять] — лингв, следующая за корнемчасть слова, отличие которой от корня удается чустано-вить только с помощьюприменения исторических методов описания языка."	
детерминизм	+	-	4	зм	ееии	и	изм	"учение о закономерности и причинной обусловленности всех вялений природы и обществ"	
детинец	+	-	3	ц	еие	е	ец	NOT FOUND	
детонатор	+	-	4	р	еоао	о		"особый капсюль, применяемый при взрывах; заряд взрывчатого вещества, своим взрывом вызывающий детонацию"	
детонометр	+	-	4	тр	еоое	е		"[см. ...метр] — прибор, сигнализирующий о явлениях детонации вдвигателях внутреннего сгорания."	артефакт
детранслятор	+	-	4	р	еаяо	о		NOT FOUND	
детрит	+	-	2	т	еи	и		"[лат. detritus истертый] — 1) мед. продукт распада омертвевшихтканей; оспенный д. — измельченное вещество телячьих или коровьих оспин,смешанное с глицерином и содержащее живой вирус коровьей оспы; служит дляпредохранительной протнвооспенной прививки, вакцинации; 2) взвешенное в воде илисодержащееся в грунте органическое вещество, состоящее из частей тела животныхи обрывков растений; в геологии и палеонтологии детритом называют также мелкийобломочный материал в виде обломков раковин и других скелетных образованийвымерших организмов, нередко являющийся породообразующим (детритусо-выеизвестняки)."	вещество
детсад	+	-	2	д	еа	а		NOT FOUND	
дефект	+	-	2	кт	ее	е		"изъян, недостаток, недочет"	
дефектоскоп	+	-	4	п	ееоо	о		"— аппарат, используемый при дефектоскопии."	артефакт
деферент	+	-	3	нт	еее	е		"[лат. deferens (deferentis) несущий] — астр, в геоцентрическойсистеме мира птолемея и гелиоцентрической системе мира коперника — окружностьвокруг центрального тела, по которой происходит движение центра эпицикла какой-л. планеты; деференты введены для объяснения сложных видимыхдвижений планет."	
дефибратор	+	-	4	р	еиао	о		NOT FOUND	
дефибрер	+	-	3	р	еие	е		"[фр. defibreur лат. пьга волокно] — в целлюлозно-бумажномпроизводстве — машина для механического измельчения древесины в волокнистуюмассу."	
дефибриллятор	+	-	5	р	еиияо	о		"[см. &amp;...]—электрический аппарат, применяемый вмедицинской практике для прекращения фибрилляции сердечной мышцы путемвоздействия на нее кратковременным электрическим импульсом."	артефакт
дефинитив	+	-	4	в	еиии	и	ив	NOT FOUND	
дефис	+	-	2	с	еи	и		"короткая черточка (-), употр. как знак переноса, как соединительная черта между частями слова (например темно-красный, иван-чай, что-то) или между словами (например полу-бог, полугерой)"	
дефицит	+	-	3	т	еии	и		"убыток, превышение расхода над приходом Spec; что-нибудь, не имеющееся в достаточном количестве; недостаток, нехватка чего-нибудь"	
дефлегматор	+	-	4	р	ееао	о		"\де... 4- гр. phlegma мокрота, влага] — аппарат, применяемый всочетании с перегонным аппаратом или самостоятельно для разделения газовыхсмесей и паров в процессах дистилляции и ректификации."	артефакт
дефлектор	+	-	3	р	еео	о		NOT FOUND	
дефлятор	+	-	3	р	еяо	о		NOT FOUND	
дефолиант	+	-	4	нт	еоиа	а		NOT FOUND	
дефолт	+	-	2	лт	ео	о		NOT FOUND	
дефростер	+	-	3	р	еое	е		"[англ, defroster] — 1) камера в холодильнике, имеющая отопление иусиленную циркуляцию воздуха; д. служит для незначительного обогрева иобсушивания продуктов (яиц, фруктов и др.) перед их выгрузкой из холодильника;2) устройство для обдува теплым воздухом ветрового стекла автомобиля воизбежание обледенения."	
децемвират	+	-	4	т	ееиа	а		NOT FOUND	
децентрализм	+	-	4	зм	ееаи	и	изм	NOT FOUND	
децибел	+	-	3	л	еие	е		"единица величины (уровня звукового давления, усиления, ослабления)"	
децибелметр	+	-	4	тр	еиее	е		NOT FOUND	
дециграмм	+	-	3	мм	еиа	а		NOT FOUND	
децилитр	+	-	3	тр	еии	и		NOT FOUND	
дециллион	+	-	4	н	еиио	о		NOT FOUND	
дециль	+	-	2	ль	еи	и		NOT FOUND	
дециметр	+	-	3	тр	еие	е		"единица измерения, равная одной десятой части метра"	
дешифратор	+	-	4	р	еиао	о		"[фр.; см. дешифрировать] — электронное устройство для расшифровкисообщения, передаваемого условными сигналами (кодом, шифром), и переводасодержащейся в нем информации на язык воспринимающего устройства (системы);примен. в телемеханике, вычислительной технике, технике связи и др."	артефакт
деэмульгатор	+	-	5	р	еэуао	о		NOT FOUND	
деэмульсатор	+	-	5	р	еэуао	о		NOT FOUND	
джаз	+	-	1	з	а	а		"оркестр, состоящий Maxime из духовых, ударных и шумовых инструментов; предназначенная для такого оркестра музыка, сочетающая в себе черты европейской и африканской традиций"	
джайв	+	-	1	йв	а	а	в	NOT FOUND	
джайнизм	+	-	2	зм	аи	и	изм	"[соб.] —одна из религий индии, возникшая в 6 в. до в. а. всохранившаяся до ваших дней; д. отвергает авторитет вед, отрицает божественнуюпредопределенность каст; для джайнизма характерен аскетизм, запрещение убийствалюбого существа, отказ от причинения вреда любым живым существам."	
джампан	+	-	2	н	аа	а	ан	NOT FOUND	
джейк	+	-	1	йк	е	е		NOT FOUND	
джекет	+	-	2	т	ее	е		NOT FOUND	
джекфрут	+	-	2	т	еу	у		NOT FOUND	
джем	+	+	1	м	е	е		"варенье из фруктов или ягод в виде густого желе"	
джемпер	+	-	2	р	ее	е		"вязаная фуфайка без воротника, надевающаяся через голову"	
джемпринт	+	-	2	нт	еи	и		NOT FOUND	
джемсонит	+	-	3	т	еои	и		NOT FOUND	
джеспилит	+	-	3	т	еии	и		"[англ, jasper яшма + гр. lithos камень] — железистые кварцитаглубинно-метаморфического происхождения (см. метаморфизм), состоящие изтонкопереслаивающихся слоев мелкозернистого кварца с распыленным гематитом имагнетитом и зернистых прослоев последних; основная руда крупнейшихжелезорудных месторождении (в ссср — кривой рог, курская магнитная аномалия; всша — озеро верхнее и др.)."	
джиггер	+	-	2	р	ие	е		NOT FOUND	
джин	+	+	1	н	и	и		"английская можжевеловая водка"	
джингоизм	+	-	3	зм	иои	и	изм	"[англ. jingoism] — крайние шовинистические в империалистическиевоззрения; термин появился в англии в 70-х гг. 19 в. (см. джинго)."	
джип	+	-	1	п	и	и		"американский армейский автомобиль"	
джиттербаг	+	-	3	г	иеа	а		NOT FOUND	
джихад	+	-	2	д	иа	а		"[ар.] — то же, что газават."	
джоггинг	+	-	2	нг	ои	и		NOT FOUND	
джойстик	+	-	2	к	ои	и	ик	NOT FOUND	
джоуль	+	-	2	ль	оу	у		"единица энергии, работы и количества теплоты"	
джулеп	+	-	2	п	уе	е		NOT FOUND	
джут	+	-	1	т	у	у		"травянистое растение, разводимое Maxime в Индии, волокна которого употребляются для изготовления грубых тканей веревок канатов"	растение
дзерен	+	-	2	н	ее	е		"[монг.] — антилопа из рода газелей, встречающаяся гл. обр. в центр.азии, в ссср — на юго-вост. алтае; находится под охраной."	
дзот	+	-	1	т	о	о		"укрепленная оборонительная огневая точка [сокращение по начальным буквам: деревоземляная огневая точка]"	
дзэн	+	-	1	н	э	э		NOT FOUND	
диабаз	+	-	3	з	иаа	а		"[фр. diabase гр.] — глубинная магматическая горная породатемного цвета, состоящая в основном из плагиоклаза и авгита (иногда оливина идругих второстепенных минералов); д. употр. для мощения улиц и как строительныйматериал."	
диабет	+	-	3	т	иае	е		"ряда заболеваний, вызванных нарушением обмена веществ"	
диагенез	+	-	4	з	иаее	е		"диагенезис[гр. dia... раз..., пере... + ...генез(ис)] — геол.совокупность процессов физ. и хим. преобразования (перекристаллизация,цементация, растворение и др.) рыхлых осадков на дне водных бассейнов ипоследующего их изменения в условиях температур и давлений верхней зоны земнойкоры."	
диагноз	+	-	3	з	иао	о		"определение болезни, травмы на основании специального исследования"	
диаграф	+	-	3	ф	иаа	а		NOT FOUND	
диазин	+	-	3	н	иаи	и	ин	NOT FOUND	
диазоматериал	+	-	7	л	иаоаеиа	а		NOT FOUND	
диазоэфир	+	-	5	р	иаоэи	и		NOT FOUND	
диак	+	-	2	к	иа	а		NOT FOUND	
диаклаз	+	-	3	з	иаа	а		NOT FOUND	
диалект	+	-	3	кт	иае	е		"местная или социальная разновидность языка"	
диалектизм	+	-	4	зм	иаеи	и	изм	"слово или оборот речи из какого-нибудь диалекта, употребленные в литературном языке"	
диализ	+	-	3	з	иаи	и		"[гр. dialysis отделение]—освобождение коллоидных растворов ирастворов высокомолекулярных веществ от растворенных в них солей и других низкомолекулярных веществ; осуществляется при помощиполупроницаемых мембран (из коллодия, пергамента и др.), через которые непросачиваются сравнительно крупные коллоидные частицы; примен. в производствеискусственных волокон, фармацевтических препаратов и др."	
диализат	+	-	4	т	иаиа	а	ат	NOT FOUND	
диализатор	+	-	5	р	иаиао	о	атор	NOT FOUND	
диалог	+	-	3	г	иао	о		"разговор между двумя лицами, обмен репликами; переговоры, контакты между двумя странами сторонами"	
диалогбанк	+	-	4	нк	иаоа	а		NOT FOUND	
диамагнетизм	+	-	5	зм	иааеи	и	изм	"[гр. dia раз + магнетизм] — фаз. магнитное состояние вещества,при котором намагниченность его направлена навстречу вызывающему это состояниевнешнему магнитному полю, что приводит к отталкиванию этих веществ от полюсовмагнита; д. присущ всем веществам, но он может перекрываться другими видамимагнетизма."	состояние
диамагнетик	+	-	5	к	иааеи	и	ик	"[см. диамагнетизм] — физ. вещество. способное намагничиватьсяпод действием внешнего магнитного поля навстречу направлению поля."	вещество
диамант	+	-	3	нт	иаа	а		"[фр. diamant] — 1) алмаз, бриллиант; 2) типографский шрифт, кегль(размер) которого равен 4 пунктам (около 1,5 мм)."	
диамат	+	-	3	т	иаа	а		NOT FOUND	
диаметр	+	-	3	тр	иае	е		"отрезок прямой линии, соединяющий две точки окружности и проходящий через ее центр; длина этого отрезка"	
диамид	+	-	3	д	иаи	и		NOT FOUND	
диамин	+	-	3	н	иаи	и	ин	NOT FOUND	
диангидрид	+	-	4	д	иаии	и		NOT FOUND	
дианизидин	+	-	5	н	иаиии	и	ин	NOT FOUND	
диапазон	+	-	4	н	иаао	о		"объем, размер знаний, интересов Lib; область, в пределах которой осуществляются какие-нибудь измерения Spec; интервал между самым низким и самым высоким звуками певческого голоса, мелодии или музыкального инструментаSpec"	
диапедез	+	-	4	з	иаее	е		"[гр. diapedesis просачивание] — прохождение клеточных элементовкрови (лейкоцитов, эритроцитов) через неповрежденные стенки кровеносныхсосудов; наблюдается у человека и животных при воспалительной реакции тканей,окружающих сосуды."	
диапозитив	+	-	5	в	иаоии	и	ив	"позитивное фотографическое изображение на прозрачном материале, предназначенное для демонстрации на экране с помощью проектора"	
диапроектор	+	-	5	р	иаоео	о		"[гр. dia через + проектор] ~~ оптико-механический прибор дляпроецирования на экран изображений на прозрачной подложке (диапозитивов,диафильмов и т. п.); д. для показа диафильмов — фильмоскоп."	артефакт
диартроз	+	-	3	з	иао	о		"[гр. diarthrosis] — анат. истинный сустав, подвижное сочленениекостей (ср. синартроэ)."	
диас	+	-	2	с	иа	а		NOT FOUND	
диаскоп	+	-	3	п	иао	о		"[гр. dia через + ...скоп] — то же, что диапроектор."	
диастаз	+	-	3	з	иаа	а		NOT FOUND	
диастер	+	-	3	р	иае	е	тер	NOT FOUND	
диастиль	+	-	3	ль	иаи	и		NOT FOUND	
диастрофизм	+	-	4	зм	иаои	и	изм	NOT FOUND	
диатез	+	-	3	з	иае	е		"состояние организма, предрасполагающее к определенным заболеваниям или к аллергии"	состояние
диатермокоагулятор	+	-	9	р	иаеооауяо	о		NOT FOUND	
диатомин	+	-	4	н	иаои	и	ин	NOT FOUND	
диатомит	+	-	4	т	иаои	и		"— пористая горная порода, состоящая преимущ. из кремневых панцирейдиа-томей; примен. в керамике, для производства строительных итеплоизоляционных материалов."	
диафан	+	-	3	н	иаа	а	ан	"[ гр. duphanes прозрачный] — матовый фарфор без глазури."	
диафанометр	+	-	5	тр	иааое	е		"[гр. diaphaneia прозрачность + ...метр] — прибор для определениястепени прозрачности твердых тел, жидкостей и газов."	артефакт
диафаноскоп	+	-	5	п	иааоо	о		"[гр. diaphaneia прозрачность + ...скоп] — прибор длядиафаноскопии."	артефакт
диафиз	+	-	3	з	иаи	и		"[гр. diaphysis] — анат. средняя часть трубчатой кости (между двумяэпифизами)."	
диафильм	+	-	3	льм	иаи	и		"фильм N2, составленный из диапозитивов"	
диафон	+	-	3	н	иао	о		"[гр. dia через, сквозь + ...фон] — аппарат для подачи с маяков вовремя тумана мощных звуковых сигналов."	артефакт
дибазол	+	-	3	л	иао	о		NOT FOUND	
дибензофуран	+	-	5	н	иеоуа	а	ан	NOT FOUND	
дибромметан	+	-	4	н	иоеа	а	ан	NOT FOUND	
дибутилфталат	+	-	5	т	иуиаа	а		NOT FOUND	
диван	+	-	2	н	иа	а	ан	"мягкая мебель для сидения и лежания, со спинкой и ручками или валиками"	
диванчик	+	-	3	к	иаи	и	чик	NOT FOUND	
дивергент	+	-	3	нт	иее	е		"[лат. divergens (divergen-tis) расходящийся в разные стороны]— лингв. варианты фонемы, звуки речи, различные по произношению в зависимостиот положения в слове, напр, л — л в словах стол — столик."	
дивертикул	+	-	4	л	иеиу	у		"[лат. diverticulum дорога в сторону] — мешковидное иливоронкообразное выпячивание стенки полого органа (пищевода, кишки, мочевогопузыря)."	
дивертисмент	+	-	4	нт	иеие	е		"различные номера, дополняющие главное представление"	
дивертор	+	-	3	р	иео	о		NOT FOUND	
дивиденд	+	-	3	нд	иие	е		"прибыль, получаемая акционерами пропорционально вложенному капиталу"	
дивидент	+	-	3	нт	иие	е		NOT FOUND	
дивизион	+	-	4	н	ииио	о		"подразделение военных кораблей одного класса; воинское подразделение в артиллерийских, ракетных частях"	
дивизор	+	-	3	р	иио	о		NOT FOUND	
дивинил	+	-	3	л	иии	и		"[гр. di(s) дважды + лат. vinum (vini) вино] — то же, что бутадиен."	
дигален	+	-	3	н	иае	е		NOT FOUND	
дигенез	+	-	3	з	иее	е		NOT FOUND	
дигидрат	+	-	3	т	ииа	а		NOT FOUND	
дигитайзер	+	-	4	р	ииае	е		NOT FOUND	
дигиталис	+	-	4	с	ииаи	и		"[лат. digitus палец] — н а-перстянка — род травянистыхрастений сем. норичниковых, содержащих гликоэиды, которые примен. в медицине;нек-рые виды разводят как декоративные."	
диглиф	+	-	2	ф	ии	и		NOT FOUND	
диграф	+	-	2	ф	иа	а		NOT FOUND	
дидактизм	+	-	3	зм	иаи	и	изм	"наставительность, поучительность"	
дидодекаэдр	+	-	5	др	иоеаэ	э		NOT FOUND	
диез	+	-	2	з	ие	е		"нотный знак, требующий повышения звука на полутон"	
диен	+	-	2	н	ие	е		NOT FOUND	
диерез	+	-	3	з	иее	е		NOT FOUND	
диетпродукт	+	-	4	кт	иеоу	у		NOT FOUND	
дизайн	+	-	2	йн	иа	а		"конструирование вещей, машин, интерьеров, основанное на принципах сочетания удобства, экономичности и красоты"	
дизассемблер	+	-	4	р	иаее	е		NOT FOUND	
дизель	+	-	2	ль	ие	е		"поршневой двигатель внутреннего сгорания, работающий на жидком топливе"	
дизельпоезд	+	-	4	зд	иеое	е		NOT FOUND	
дизельэлектроход	+	-	6	д	иеэеоо	о		NOT FOUND	
дизохол	+	-	3	л	иоо	о		NOT FOUND	
дизъюнкт	+	-	2	нкт	ию	ю		NOT FOUND	
диизопропил	+	-	5	л	ииоои	и		NOT FOUND	
диизопропиламиноэтан	+	-	10	н	ииооиаиоэа	а	ан	NOT FOUND	
диизопропиламиноэтанол	+	-	11	л	ииооиаиоэао	о		NOT FOUND	
диксиленд	+	-	3	нд	иие	е		"[англ, dixieland dixieland букв, страна дикси (dixieразговорное название южных штатов в сша)] — в сша — назв. первых джазовыхансамблей, состоявших из музыкантов-белых и копировавших манеру исполнениянегритянской музыки; позднее д. шире, чем негритянские коллективы, применилприемы европейской композиционной техники, ограничившись исполнением преимущ.танцевальной и развлекательной музыки."	
диктант	+	-	2	нт	иа	а		"письменная проверочная работа - записывание текста, диктуемого учителем"	
диктат	+	-	2	т	иа	а		"требование условие, предъявляемое сильной стороной и навязываемое слабой стороной для безусловного исполнения"	
диктограф	+	-	3	ф	иоа	а		NOT FOUND	
диктофон	+	-	3	н	иоо	о		"прибор для магнитной записи и последующего воспроизведения устной речи как диктуемой"	артефакт
диктум	+	-	2	м	иу	у		NOT FOUND	
дилатограф	+	-	4	ф	иаоа	а		NOT FOUND	
дилатометр	+	-	4	тр	иаое	е		"[см. дилатометрия] — прибор для определения изменений размеровтел под действием различных факторов,"	артефакт
дилетантизм	+	-	4	зм	иеаи	и	изм	"дилетантское отношение, дилетантский подход к тому, что требует специальных профессиональных знаний"	
дилижанс	+	-	3	нс	ииа	а		"многоместная карета для перевозки пассажиров почты и багажа"	
дилятатор	+	-	4	р	ияао	о		NOT FOUND	
дим	+	-	1	м	и	и		NOT FOUND	
димер	+	-	2	р	ие	е		NOT FOUND	
диметиламидофосфат	+	-	8	т	иеиаиооа	а		NOT FOUND	
диметилацетамид	+	-	7	д	иеиаеаи	и		NOT FOUND	
диметилгидразин	+	-	6	н	иеииаи	и	ин	NOT FOUND	
диметилсульфид	+	-	5	д	иеиуи	и		NOT FOUND	
диметилформамид	+	-	6	д	иеиоаи	и		NOT FOUND	
диметилфосфит	+	-	5	т	иеиои	и		NOT FOUND	
диметилфталат	+	-	5	т	иеиаа	а		NOT FOUND	
диметр	+	-	2	тр	ие	е		NOT FOUND	
диморфизм	+	-	3	зм	иои	и	изм	"[гр. di(s) дважды + ...мор-физм] — 1) способность нек-рыхкристаллических веществ в зависимости от условий (температура, давление и др.)образовывать две различные по кристаллической структуре модификации; частныйслучай полиморфизма г, 2) биол. наличие в пределах одного и того же видаживотных или растений двух более или менее резко различающихся форм (половой,сезонный д.); разновидность полиморфизма 2."	
димюон	+	-	3	н	июо	о		NOT FOUND	
динаметр	+	-	3	тр	иае	е		NOT FOUND	
динамизм	+	-	3	зм	иаи	и	изм	"наличие, присутствие динамики N3 в чем-нибудь"	
динамик	+	-	3	к	иаи	и	ик	"электродинамический громкоговоритель"	
динамит	+	+	3	т	иаи	и		"сильное взрывчатое вещество"	вещество
динамобаллистокардиограф	+	-	10	ф	иаоаиоаиоа	а		NOT FOUND	
динамограф	+	-	4	ф	иаоа	а		NOT FOUND	
динамометаморфизм	+	-	7	зм	иаоеаои	и	изм	NOT FOUND	
динамометр	+	-	4	тр	иаое	е		"прибор дя измерения силы"	артефакт
динамоскоп	+	-	4	п	иаоо	о		NOT FOUND	
динамотор	+	-	4	р	иаоо	о		NOT FOUND	
динаполис	+	-	4	с	иаои	и		NOT FOUND	
динар	+	-	2	р	иа	а		"денежная единица в Югославии, Ираке, Тунисе и некоторых других странах"	
динарий	+	-	3	й	иаи	и	ий	"денарий [лат. denarius] — серебряная монета в др. риме, равная 10ассам."	
динас	+	-	2	с	иа	а		"[соб.]—огнеупорный материал, состоящий гл. обр. из кремнезема (неменее 93%); примен. при сооружении плавильных, обжигательных и нагревательныхзаводских печей (коксовальных, мартеновских и др.); огнеупорность динаса1680—1730° с."	
динатрон	+	-	3	н	иао	о		NOT FOUND	
динейтрон	+	-	3	н	иео	о		NOT FOUND	
динитробензол	+	-	5	л	ииоео	о		NOT FOUND	
динитроген	+	-	4	н	ииое	е		NOT FOUND	
динорнис	+	-	3	с	иои	и		"[гр. deinos, dinos ужасный, страшный, удивительный + ornis птица] —иначе м о а — очень крупная (до 3 м высотой) бегающая птица, обитавшая в новойзеландии и истребленная в течение последних двух столетий."	абстрактное понятие
диод	+	-	2	д	ио	о		"двухэлектродный прибор с односторонней проводимостью"	артефакт
диоксид	+	-	3	д	иои	и		"-а, м. (спец.). Химическое соединение, в к-ром один атом какого-л. элемента соединен с двумя атомами кислорода. Д. азота. II прил. диоксидный, -ая, -ое."	
диоксин	+	-	3	н	иои	и	ин	NOT FOUND	
диоктилфталат	+	-	5	т	иоиаа	а		NOT FOUND	
дионин	+	-	3	н	иои	и	ин	NOT FOUND	
диопсид	+	-	3	д	иои	и		NOT FOUND	
диоптаз	+	-	3	з	иоа	а		NOT FOUND	
диоптограф	+	-	4	ф	иооа	а		NOT FOUND	
диоптр	+	-	2	птр	ио	о		"[гр. dioptra dia сквозь + opso-mai увижу] — 1) приспособлениедля визирования (см. визировать2) в простейших геодезических инструментах(напр., в буссоли); 2) приспособление для увеличения точности прицеливания,укрепляемое на винтовке недалеко от затвора; 3) фот. небольшое отверстие увидоискателя, через которое ведется наблюдение при выборе кадра."	
диорит	+	-	3	т	иои	и		"|фр. diorite rp. diorizo разграничиваю, различаю] — магматическаяглубинная горная порода, состоящая из плагиоклазов и темных силикатов(амфиболов, пироксенов и др.)-"	
диплекс	+	-	2	кс	ие	е		NOT FOUND	
диплом	+	-	2	м	ио	о		"исследовательская работа, выполняемая выпускником высших и некоторых средних учебных заведений; свидетельство об окончании учебного заведения или о присвоении какого-нибудь звания; свидетельство, выдаваемое как награда за успешное выступление на конкурсе, фестивале; за высокое качество экспонатов на выставке"	
диплот	+	-	2	т	ио	о	от	"[гол. dieplood] — мор. применявшийся в старину ручной лот дляизмерения глубин до 200 м."	
диполь	+	-	2	ль	ио	о		"[гр. di(s) дважды + polos полюс] — 1) совокупность двух равных повеличине разноименных электрических зарядов, расположенных на нек-ромрасстоянии друг от друга; 2) распространенное название одного из типов антенндля коротких волн."	
дипротодон	+	-	4	н	иооо	о		NOT FOUND	
диптих	+	-	2	х	ии	и		"[гр. diptyches букв, складень] — 1) у древних греков и римлян — двепокрытые воском и соединенные вместе дощечки для письма; 2) двустворчатыйскладень с живописным или рельефным изображением на каждой створке; 3) двекартины, связанные единым замыслом."	
диргем	+	-	2	м	ие	е		NOT FOUND	
директорат	+	-	4	т	иеоа	а		"коллегия директоров крупного учреждения, возглавляемая главным директором"	
дирижабль	+	-	3	бль	ииа	а		"снабженный двигателями управляемый аэростат с сигарообразным корпусом"	
дирхем	+	-	2	м	ие	е		"дирхам — 1) денежная единица марокко (= 100 сантимам), а такжеобъединенных арабских эмиратов (= 100 филсам); 2) старинная арабская серебрянаямонета; 3) мера веса драгоценных металлов в египте и судане (3,12 г); 4) монетадостоинством vw динара в иордании и кувейте."	
дисахарид	+	-	4	д	иааи	и		"[гр. di(s) дважды + sakchar сахар + eidos вид] — классорганических соединений, углеводы, молекулы которых состоят из двух остатковмоносахаридов; важнейшие представителя дисахаридов — сахароза и лактоза."	
дисбаланс	+	-	3	нс	иаа	а		"[фр. disbalance] — неуравновешенность вращающихся машинных частей(шкивов, коленчатых валов, роторов электромашин и турбин и др.) вследствие ихнесимметричного расположения относительно оси вращения."	
дисбаризм	+	-	3	зм	иаи	и	изм	NOT FOUND	
диск	+	-	1	ск	и	и		"== пластинка N2; предмет в виде плоского круга"	артефакт
дискант	+	-	2	нт	иа	а		"певец с таким голосом; высокий детский голос"	
дисклимакс	+	-	3	кс	ииа	а		NOT FOUND	
дисковод	+	-	3	д	иоо	о		NOT FOUND	
дискомфорт	+	-	3	рт	иоо	о		"условия жизни, пребывания, не обеспечивающие удобства и спокойствия"	
дисконт	+	-	2	нт	ио	о		"[англ, discount] — 1) учет векселя; 2) учетный процент — процент, взимаемый банками капиталистических стран приучете векселей; 3) в биржевых и валютных сделках — скидка с цены товара,валюты."	
дисконтинуум	+	-	5	м	иоиуу	у		NOT FOUND	
дискос	+	-	2	с	ио	о	ос	NOT FOUND	
дискриминант	+	-	4	нт	иииа	а		"[лат. discriminans (dis-criminantis) различающий,разделяющий] — мат. составленное из величин, определяющих заданную функцию,выражение, обращением которого в нуль характеризуется то или иное отклонениефункции от нормы, напр. д. многочлена равен нулю тогда и только тогда, когда умногочлена есть равные корни."	
дискриминатор	+	-	5	р	иииао	о		"[ лат. discriminare отделять, различать] — рад. устройство, вкотором производится сравнение одного из параметров (напр., амплитуды, фазы)электрического сигнала с аналогичным параметром стандартного сигнала; примен.,напр., в системах автоматического регулирования, в радиоприемниках, визмерительных приборах."	артефакт
дискурс	+	-	2	рс	иу	у		NOT FOUND	
дисмеризм	+	-	3	зм	иеи	и	изм	NOT FOUND	
диспансер	+	-	3	р	иае	е		"медицинское учреждение, занимающееся лечением определенного контингента больных, систематически наблюдающее за их здоровьем"	
диспаритет	+	-	4	т	иаие	е		NOT FOUND	
диспач	+	-	2	ч	иа	а	ач	"fангл, dispatch быстрота] —вознаграждение (премия),выплачиваемое судовладельцем грузовладельцу (фрахтователю) за досрочноеокончание последним погрузки и выгрузки судна."	
диспашер	+	-	3	р	иае	е		"[фр. dispacheur] — официальный эксперт, производящий диспашу."	
диспергатор	+	-	4	р	иеао	о		NOT FOUND	
дисплей	+	-	2	й	ие	е		"устройство, отображающее на экране (в виде текстов, чертежей, схем) информацию, полученную от ЭВМ, экранный пульт"	артефакт
диспрозий	+	-	3	й	иои	и		"[гр. disprositosтруднодоступный (назв. дано из-за крайнетрудного отделения элемента от его спутников)] — хим. элемент из семействалантаноидов, символ dy (лат. dysprosium), металл."	вещество
диспут	+	-	2	т	иу	у		"публичный спор на научную или общественную важную тему"	
диссектор	+	-	3	р	иео	о		"[лат. dissecare рассекать] — передающая телевизионная трубка,в которой оптическое изображение преобразуется в электрический сигнал с помощьюфотоэлектронного умножителя; примен. в спец. системах телевидения."	
диссонанс	+	-	3	нс	иоа	а		"негармоничное сочетание музыкальных звуков, неслитное звучание тонов; то, что вносит разлад, вступает в противоречие с чем-нибудь; несогласованность, несоответствие"	
дистен	+	-	2	н	ие	е		NOT FOUND	
дистиллер	+	-	3	р	иие	е		NOT FOUND	
