word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
вигад	-	+	2	д	иа	а		"у, Те саме, що вигадка"	
вигляд	-	+	2	д	ия	я		"у, 1. Сукупність зовнішніх ознак, особливостей кого-, чого-небудь, що створює відповідне враження. //  Певний вираз у зовнішності як прояв якогось стану, настрою. 2. заст. Місцевість, яку видно, яка відкривається зорові, погляду. 3. заст. Перспектива, плани на щось.  З виглядом — набираючи якогось вигляду, маючи якийсь вигляд. На вигляд — як свідчать, показують зовнішні ознаки. Під виглядом — удаючи кого-небудь, вигадавши якусь причину. Робити (зробити) вигляд — удавати що-небудь"	
виграш	-	+	2	ш	иа	а		"у, 1. Здобуття, одержання чого-небудь в процесі гри або розігрування чогось. 2. Те, що одержане внаслідок вдалої гри або розігрування чогось. 3. перен. Вигода, користь від чого-небудь. 4. перен. Успіх, перемога у чому-небудь. 5. перен. Заощадження у витраті внаслідок економи, вмілого використання чого-небудь"	
вигук	-	+	2	к	иу	у	к	"у, 1. Голосно викрикнуте, вигукнуте слово, фраза або звук, який передає певне почуття. 2. лінгв. Незмінна частина мови, яка служить для безпосереднього виявлення почуттів і вольових виявів"	
вигін	-	+	2	н	иі	і		NOT FOUND	
вид	-	+	1	д	и	и		"1, у, 1. Те саме, що обличчя. Тато сидів коло вікна на тапчані, тільки в шматті, розхристаний, аж груднину видно, і краплями піт тече по виду І стала жить Ганнусенька в своїй сім'ї, в роду, така русява, русенька з рум'янцем на виду //  рідко. Вигляд, зовнішність. Взяла на себе вид Енея, До Турна просто понеслась Здалеку веселий вид має сільце ♦ З виду — маючи той чи інший вигляд. Вже сніг укрив землю, як Лукина вернулась до Клима, страшна з виду Не подавати (подати, показувати, показати) виду — не виявляти своїх почуттів, приховувати їх. Виду не подала Тамара, що приємно їй було це почути: вперше заговорила мати про листівки 2. на що і без додатка. Частина місцевості, яку видно; краєвид. Я вилізла тільки на одну [могилу], але зате на саму найвищу, — вид з неї дуже широкий і хороший 3. заст. Те саме, що Вид на проживання.  Вид на проживання, заст. — документ, особове посвідчення, що дає право проживати де-небудь. Мені паспорт не потрібен, у мене студентський вид на проживання ♦ Видом видати див. видати; На виду — так, що видно. — Так я махнув на все, та оце як бачите... У часні пішов. — І про це чули... Важка служба! Клопотна служба! Перед усіма на виду Колона полку була в розвідників на виду" ВИД 2, у, 1. Окрема галузь роботи, заняття, різновид в ряді предметів, явищ і т. ін.; тип. Обмінюючи продукти, люди прирівнюють найрізніші види праці По виробництву основних видів промислової продукції на душу населення Україна залишить позаду багато капіталістичних держав 2. Підрозділ, що об'єднує ряд предметів, явищ за спільними ознаками і входить до складу загальнішого вищого розділу — роду. 3. Нижча одиниця в системі класифікації тваринного та рослинного світу, що об'єднує тварин або рослини, які мають однакові ознаки, і входить до складу вищої одиниці — роду. В природі є до 200 видів однорічних, дворічних і багаторічних люпинів Розгортаючи руками травостій, Валерик пробував розшукати серед нього знайомі, штудійовані в школі степові види 4. лінгв. Граматична категорія в слов'янських і деяких інших мовах, що характеризує дію і стан з погляду їх тривання, становлення, розгортання або цілісності, результативності, завершеності в часі. Недоконаний вид; Доконаний видвидавати	абстрактное понятие
видаток	-	+	3	к	иао	о	ок	"тку, 1. Витрата, видання коштів, матеріалів і т. ін. для чого-небудь, викликана чимсь або необхідна для здійснення тієї чи іншої мети. 2. бухг. Кошти, витрачені або необхідні для витрат при здійсненні чого-небудь. 3. діал. Кількість вимолоченого зерна"	
виднокруг	-	+	3	г	иоу	у		"у, поет. 1. Те саме, що видноколо. У долині, на виднокрузі, сіріло щось широкою смугою і розпливалось у пітьмі. То був Дунай Дорога поміж хлібами, поміж городами через балки та вибалки потяглася ген-ген до самого виднокругу Горленко замислено оглянула виднокруг — на річці катери чохкали попереду барж, хвилі лінькувато бились об сонні береги Скоро з нашого виднокругу зникло все, крім довгого коридора 2. перен. Сукупність знань, інтересів. Ширшає в людей виднокруг, культурнішають люди"	
видобуток	-	+	4	к	иоуо	о	ок	"тку, гірн. 1. Процес добування корисних копалин з надр землі. 2. Певна кількість корисних копалин, видобутих з надр землі"	
видолинок	+	-	4	к	иоио	о	ок	"нка, Невелика і неглибока улоговина; улоговинка"	
визиск	-	+	2	ск	ии	и	к	"у, Привласнення результатів додаткової і частини необхідної праці трудящих приватними власниками засобів виробництва; експлуатація"	
визубень	+	-	3	нь	иуе	е	ень	"бня, 1. Пошкодження, виїмка на лезі гострого знаряддя; щербина. 2. Зубчастий виступ на чому-небудь"	
виказ	-	+	2	з	иа	а		"у, 1. Дія за значенням виказати 3. 2. Те саме, що донос"	абстрактное понятие
виказувач	+	-	4	ч	иауа	а	ач	"а, розм. Той, хто виказує, доносить на кого-небудь"	
викид	-	+	2	д	ии	и		"у, Дія за значенням викинути 7"	
виклик	-	+	2	к	ии	и	ик	"у, 1. Прохання або вимога з'явитися куди-небудь. //  Оплески, вигуки глядачів як прохання, вимога до артиста (артистів) вийти на сцену (для схвалення виступу або повторення його). //  Знак, сигнал (телефонний, радіо і т. ін.), за допомогою якого зв'язуються на віддалі для повідомлення, розмови. 2. Заклик до змагання, до участі в чому-небудь. //  Категорична, різка пропозиція вступити в боротьбу, поєдинок або дія, спрямована на те, щоб втягнути у поєдинок.  З викликом — своїм виглядом, жестами, інтонацією спонукаючи до суперечки, боротьби. Кидати (кинути) виклик — робити категоричну, різку пропозицію вступити в боротьбу, поєдинок"	
виконком	-	+	3	м	иоо	о		"у, Скорочення: виконавчий комітет"	
викрик	-	+	2	к	ии	и	ик	"у, Щось дуже голосно вимовлене, вигукнуте або уривчастий крик"	
викрут	-	+	2	т	иу	у		"у, розм. 1. Незвичайний звивистий рух. 2. Хитрий прийом, спритна дія"	
викрутас	-	+	3	с	иуа	а		"у, розм. 1. Примхливий, незвичайний рух, поворот тіла або частини тіла. 2. перен. Що-небудь взагалі незвичайне, химерне.  //  Вигадливий або хитрий вислів"	
викуп	-	+	2	п	иу	у		"у, 1. тільки одн. Дія за значенням викупити. 2. Гроші чи інша плата, за яку викуповують кого-, що-небудь"	
вилом	-	+	2	м	ио	о		"у, Виламаний у чому-небудь отвір або заглибина"	
виляск	-	+	2	ск	ия	я	к	"у, 1. Гучний звук, утворюваний від плескання, ляскання, ударяння об що-небудь. 2. Пронизливий звук, у який переходить голосний крик, спів, сміх і т. ін. 3. перев. мн. Відзвук, луна"	
вимисел	-	+	3	л	иие	е	л	"слу, 1. Те, що вигадане, чого немає в дійсності. 2. літ. Те, що створене уявою, фантазією письменника, один із засобів творення художніх образів і картин життя"	абстрактное понятие
вимір	-	+	2	р	иі	і		"у, 1. Визначення якої-небудь величини чогось. 2. мат. Величина, що вимірюється"	абстрактное понятие
винахід	-	+	3	д	иаі	і		"ходу, 1. Дія за значенням винаходити 1. 2. Те, що винайдене, зовсім нове, невідоме до цього"	
виноградник	-	+	4	к	иоаи	и	ник	NOT FOUND	
винохід	+	+	3	д	иоі	і		"хода, ВИНОХОДЕЦЬ, хідця, діал. Іноходець"	
виняток	-	+	3	к	ияо	о	ок	"тку, Відхилення від звичайного, від загального правила. Винятки, очевидячки, минаємо Земля скрізь потребує роботи, і його бургундська земля не становила винятку, швидше, навпаки — вона вимагала праці подвійної Тато мій — рішуча й тверда людина, хоч і мрійник. Нібито ці якості в людині не поєднуються, але тато, мабуть, виняток  Без винятку — не виключаючи нікого, нічого. Досі вона була доброзичливою до всіх без винятку За винятком кого, чого — виключаючи кого-, що-небудь; крім когось, чогось. Всі, за винятком Бойчука, здивовано дивилися на свого шкіпера По всій землі тортури, ешафоти, за винятком радянської землі"	
випадок	-	+	3	к	иао	о	ок	"дку, 1. Те, що сталося, трапилося (звичайно несподівано). Сей маленький випадок зробив дуже багато: в перший раз почула Маруся, де вона є і що з нею тут [серед опришків] може статися Вартовий міліціонер повідомив його [начальника міліції], що ніяких випадків уночі не трапилось — Його зараз же спіймали і наган при ньому знайшли. На моє щастя — не скористувався він ним. Вилами бив. Щоб менше шуму. І після цього випадку часто згадую я Сазона //  Наявність того чи іншого явища, факту. Є ще випадок закономірного вживання архаїзмів — це іронія, сарказм 2. Обставини, стан речей, ситуація. Чернишеві хотілося підбадьорити хлопця, але він не знав, як це робиться в таких випадках Віра чомусь таку помаду вважала особливо красивою і берегла для винятково урочистих випадків //  Раптовий зручний момент, непередбачені сприятливі обставини для виконання чого-небудь. Віктор увесь день шукав випадку, щоб наодинці поговорити з Шепель  На випадок чого — передбачаючи певні обставини. Це були гамазеї, де переховувався недоторканний запас зерна на випадок неврожаю чи якогось стихійного лиха 3. Те саме, що випадковість 2. А що мені не розбито голову прикладом, не розпорото живіт штиком, не прострелено груди кулею так, як іншим, то се ж тільки випадок Чи то просто випадок, чи судилось так, Тут мені зустрівся запальний юнак  На (про) всякий випадок — передбачаючи якусь випадковість. — А заробите яку копійку, зложите докупи, от і гріш буде про всякий випадок Військовий пояс, польову баклагу На всякий випадок десь віднайшла"	абстрактное понятие
випал	-	+	2	л	иа	а	л	"у, 1. спец. Дія за значенням випалювати 1, випалити 4, 5. 2. Одночасний постріл з кількох рушниць, гармат; залп"	
випас	-	+	2	с	иа	а		"у, 1. Дія за значенням випасати. 2. Місце, де випасають худобу"	
виплід	-	+	2	д	иі	і		"лоду, 1. Те саме, що виплодження.  * Образно. 2. Те, що створене ким-, чим-небудь; витвір"	
випуск	-	+	2	ск	иу	у	к	"у, 1. Дія за значенням випускати 1, 3, 4, Найголовніше в голуба-поштаря — це, звісно, вміння швидко знаходити після випуску потрібний напрямок для повернення на голубник А тим часом Крутояр з Гаглоєвим і Дорошем перейшли на другий бік печі перевірити, чи все готове до випуску сталі — У мене дипломна робота в університеті не закінчена. У нас випуск скоро буде, — пояснила Марія 2. Сукупність виробів, виготовлених одночасно і за одним зразком. Блискучий, найновішого випуску червоний мотоцикл підлетів до.. хвіртки і хвацько, майже на повному ходу, спинився 3. Друкована збірка творів, статей одного або кількох авторів, що складає окрему частину тематичної серії і має порядковий номер. Переробивши, пришлю Вам обіцяне оповідання, воно піде вже до III випуску //  Частина якої-небудь тематичної серії взагалі (передач і т. ін.). Раптом з репродуктора чути голос диктора: — Передаємо нічний випуск останніх вістей 4. Група осіб (учнів, студентів), що закінчили навчальний заклад одночасно. Наприкінці вересня в щоденнику «Діло» кілька разів появлялась оповістка, що закликала колишніх учнів С-кої гімназії, того випуску, що й Безбородько, на товариський з'їзд ♦ На ви́пуск — не заправлений у що-небудь, одягнутий поверх чогось (про сорочку, штани). Сорочка [у Микити] ситцева червона на випуск, ще й поясом синім з китицями підперезана Він не був у військовій формі, а в домашньому, тобто в чоботях з штанами на випуск і голубій сатиновій сорочці"	абстрактное понятие
вир	+	+	1	р	и	и		"у, 1. Місце у річці, морі і т. ін. з круговим рухом води, що утворюється внаслідок дії протилежних течій. 2. чого або який, перен. Бурхливий, стрімкий рух, який захоплює, втягає за собою"	
вираз	-	+	2	з	иа	а		"у, 1. рідко. Дія за значенням виражати 1 і виразити. 2. Вияв настрою, почуття на обличчі, в очах. 3. Висловлення, фраза. ▲ Крилатий вираз — те саме, що Крилаті слова (див. крилатий)"	абстрактное понятие
вирок	+	+	2	к	ио	о	ок	"у, 1. юр. Рішення суду про винність або невинність підсудного. //  перен. Чиє-небудь рішення про покарання когось. ▲ Виправдувальний вирок — рішення суду, яке ухвалюється при встановленні невинності підсудного; Обвинувальний вирок — рішення суду, яке ухвалюється при встановленні вини підсудного; Смертний вирок — обвинувальний вирок із засудженням підсудного до страти. 2. перен. Категоричне рішення про що-небудь, оцінка чогось, авторитетна думка про щось" ВИРОК, рка, Зменш. до вирвиростати	
виріб	-	+	2	б	иі	і		"робу, 1. Вироблена, виготовлена з чогось річ, предмет для вжитку. І не з кождого дерева добрий виріб буде, треба й дерева дібрати Були виставлені на показ всякі дива: мистецькі вироби з дерева та каменю, золоті та срібні дзиґарі При недостатній кількості цукру в тісті вироби будуть бліді, несолодкі 2. тільки одн. Виробництво, виготовлення яких-небудь речей, предметів для вжитку. Прегарні килими домашнього виробу прикрашали стіни, долівку й дивани В одній руці він тримав фабричного виробу флояру"	
вирій	-	+	2	й	иі	і		"ію, Теплі, південні краї, куди відлітають на зиму перелітні птахи"	
виселок	+	-	3	к	иео	о	ок	"сілка, Невелике селище, яке виникло внаслідок переселення людей з іншої місцевості або іншого населеного пункту, а також поселення людей на новому місці. Заховався серед купки верб та поміж очеретами циганський виселок Машина з гуркотом вилітає по бруковиці на Царичанський шлях, мчить через заводські висілки все далі, кудись у степ Якось Артем, повертався з міста у виселок"	
вискік	-	+	2	к	иі	і	к	"скоку, 1. Жвавий, енергійний стрибок. ♦ З вискоком — охоче, з великим задоволенням. — Клим чоловік неабиякий. — За його кожна дівка піде з вибриком та вискоком, — розпадався Зануда Хіба ж то важка робота — виявити, хто в селі добре співає.. Молодших не треба було умовляти, їм тільки скажи, що збирається гурт, щоб поспівати, — з вискоком побіжать 2. перен. Вчинок, що суперечить загальноприйнятим правилам поведінки. Вистачило одного хуліганського вискоку Мартинчука, як і авторитет церкви і релігійні традиції народу стали раптом умовними речами!"	
вислів	-	+	2	в	иі	і		"лову, Сполучення слів, що виражає закінчену думку або становить певну єдність; фраза, мовний зворот. Тут один [брат], там другий із них старався якимсь зручним висловом піддержати розмову Від таких висловів [Філянського], як «оклик дум», «сонний шум» і т. ін., просто в голові паморочиться [Ярчук:] Минулого разу на влучні вислови Сергія Михайловича присутні кілька разів сміялися //  Твердження, передане небагатьма виразними словами. За висловом Олексія Максимовича Горького, Шевченко, разом з Пушкіним і Міцкевичем, з найбільшою красою, силою і повнотою втілює дух народу"	
висновок	-	+	3	к	иоо	о	ок	"вку, Остаточна думка про що-небудь, логічний підсумок, зроблений на основі спостережень, міркувань або розгляду певних фактів"	
висок	+	-	2	к	ио	о	ок	"1, ска, 1. Те саме, що скроня. 2. мн., розм. Волосся, що росте на скронях" ВИСОК 2, ска, техн. Прилад, який складається з шнурка та підвішеного до нього тягарця і використовується для вимірювання вертикальності положеннявисокий	
високий	-	-	3	й	иои	и		NOT FOUND	
виступ	-	+	2	п	иу	у		"у, 1. Частина чого-небудь, що видається, виступає наперед. Виступи гір закривали дорогу Матроси засіли під кам'яним виступом високої скелі Капітан і лейтенант сиділи в кутку окопу на піщаному виступі і про щось розмовляли Лютує парубок, і кінчики пальців до крові втискаються в розтріскані шпарини верби, зривають виступи холодної омертвілої кори 2. Заглибина, виїмка в чому-небудь. Знизу було видно, що в кам'яній стіні є чимало виступів 3. Залишення попереднього місцеперебування, стоянки, вирушання в похід. [Половець:] Наказ загонові: приготуватися до виступу! 4. Публічне виголошення промови, заяви, інформації і т. ін. Велике зворушення серед присутніх викликав виступ Костя Після доповіді почались виступи делегатів //  Виконання перед глядачами літературного, музичного, драматичного та ін. творів, гімнастичних вправ тощо. — Сьогодні ж перший виступ знаменитого тенора, що то про його було стільки мови Після ділової частини вечора продовжувались виступи художньої самодіяльності //  Публікація свого твору, статті або окремого твердження, думки з певного питання. Побачив [Каргат], що виступами в пресі нічого нашим консерваторам не доведеш, і вирішив доводити свою правду ділом 5. Дія, спрямована проти кого-, чого-небудь. Як приходив хтось із людей і оповідав про нові виступи молодого отамана [опришків], умисне кликав Юріштан жінку до хати, аби й вона чула Всюди у військах таке панувало піднесення, так хотілося покінчити швидше все одним ударом, що командирам коштувало зусиль стримувати бійців від передчасного виступу, від негайної атаки на Перекоп //  Вияв незадоволення, протесту у формі активної дії (через повстання, страйк, демонстрацію). Повстання 1591—1596 рр. були першим широким спільним виступом селянства, козацтва і міських низів України проти феодального гніту За задумом Яворського виступ робітників Турківських заводів мусив стати поштовхом до демонстрацій робітників у Самборі"	
витвір	-	+	2	р	иі	і		"вору, 1. Те, що зроблене, створене ким-небудь і реально існує в тій чи іншій формі. 2. Те, що утворилося в результаті розвитку чого-небудь або якоїсь дії, є породженням, наслідком чогось.  Витвір природи — те, що утворилося, розвинулося, вдосконалилося природним шляхом"	абстрактное понятие
виток	+	-	2	к	ио	о	ок	"тка, 1. Закручена частина чого-небудь виткого, звивистого; закруток. Й досі пам'ятую.. Пишний кудель, що з витками Ніжну шию обвивав Потилиця його з рудими витками волосся звернена до Поляруша 2. Один оберт гвинтової, спіральної лінії нарізки, дротяної обмотки і т. ін. Оксана дістала аркуш ватманського паперу з схемою контролера для шукання замкнених витків у котушках //  Один оберт рухомого предмета навколо чого-небудь. Програма першого польоту людини [у космосі] була розрахована на один виток навколо Землі"	
витяг	-	+	2	г	ия	я		"у, Невеликий уривок, частина чи цитата з якого-небудь тексту"	
витік	-	+	2	к	иі	і	к	"току, Місце, де ріка бере початок"	
вихід	-	+	2	д	иі	і		"ходу, 1. Рух звідки-небудь назовні, за межі чогось. — Кажу ж: сидить собі в хаті. Ото тільки й виходу у нього, що служба Юра звів голову догори і наставив вуха до вікон. Ні, там було все тихо і спокійно, його виходу ніхто не помітив //  Вибуття звідки-небудь, залишення чогось. Після виходу пересельців стало на селі трохи просторіше Вихід когось із ув'язнення на волю був незвичайною подією в житті камери  Вихід у море, мор. — відплиття судна від берегів у відкрите море, відбуття в рейс. Перед виходом катера в море командир має коротку ділову розмову з начальником загону Вихід у трубку (стрілку), бот., с. г. — перетворення стебла рослин в процесі росту на трубку, стрілку. Яйцекладка [у мух] відбувається під час виходу ярих злаків у трубку (Шкідн. і хвор, рослин, 1956, 113); Забур'янені гірчаком сходи озимої пшениці.. до виходу їх у стрілку.. обприскували.. бутиловим ефіром 2. перен. Форма прояву, виявлення (звичайно про почуття). Я рішаюсь уперто дивитись на панну Анелю. Се грубо, я розумію, але я хочу, се вихід для злості, що кипить в мені Горе її, знайшовши собі вихід у тужливому лементуванні, не знало впину, не знало перепони 3. Поява кого-небудь десь, прихід кого-небудь кудись. Поздоровляю з виходом на повітря Туди [на другий поверх] вели широкі сходи, в кінці яких була Людна палата, де звичайно збирались ті, що ждали виходу княгині В книзі обліку трудоднів колгоспників введено показник кількості днів виходу на роботу  * Образно. Віками комунізм був лише мрією. З виходом на історичну арену пролетаріату, з появою теорії марксизму він перетворився в могутній і все наростаючий рух //  Поява на сцені дійової особи. [Лучицька:] О! То я вспію, — ще багато часу... мій вихід останній. Добре, що я маю звичку дома одягати костюм. (Починає гримуватися) Мене ще ніколи не зустрічали оплесками при першому виході //  Надходження в продаж з друку (книги, журналу і т. ін.). Рецензій на книжку я не бачив, опріч прихильної коротенької замітки про вихід книжки в 1 М газети «Звезда» Перша книга! Перший «Кобзар». Як нетерпляче чекає його виходу Тарас 4. Місце, яким виходять чи яким можна виходити назовні з чого-небудь, звідкись, або отвір, через який може щось виходити. Од скочивши од вікна, вона кинулась до виходу Тепер військо, поділившись на купки, почало охоплювати всі виходи із села Дим стелився попід просмаленим дахом, шукав виходу, крізь який можна б вирватися на простір, виїдав очі 5. перен. Можливість, спосіб вийти із складного, важкого становища, позбутися небезпеки і т. ін. Буду вашим побратимом, буду думати разом з вами над тим, чи нема для нас виходу з великої, всенародної кривди Втікати? Але як? Тамара питала про це, Зара розводила руками. Вона не знає, як це зробити, але втеча — єдиний вихід 6. Кількість вироблених, вирощених і т. ін. продуктів. Кукурудза — основний корм для великої рогатої худоби і свиней. Вона запорука високих надоїв і високих виходів м'яса Під час його [коксівного вугілля] переробки вихід кам'яновугільної смоли становитиме 6 процентів замість звичайних 3,3 процента 7. Оголення гірських порід, пластів. При виході на поверхню тверді гірські породи інтенсивно руйнуються //  Те, що виступає на поверхню. Дід згадав стару науку, розкопав на березі Сугаклею вихід граніту на поверхню"	
виш	-	+	1	ш	и	и		"у, Скорочення: вища школа"	
вишкіл	-	+	2	л	иі	і	л	"колу, розм. Ретельне навчання чого-небудь, прищеплення певних навиків, привчання до дисципліни і т. ін"	
вияв	-	+	2	в	ия	я		"у, Дія, процес, що робить явним, помітним стан, почуття, наміри і т. ін. //  Вираження чого-небудь; те, у що втілюються, виливаються якісь дії, стан, почуття, наміри тощо"	
виярок	+	-	3	к	ияо	о	ок	"рка, Невеликий яр з пологими схилами"	
виїзд	-	+	2	зд	иї	ї		"у, 1. Дія за значенням виїжджати 1 і виїздити. Перед виїздом за кордон я мав кращі надії на найближчий час, але тепер вони розвіялись Та й те, що він зможе застати там Мухтарова, не в меншій мірі спричинило його ранній виїзд з Намангана //  заст. Відвідування кого-, чого-небудь. — Треба мені справити шовкову сукню на виїзди в гості 2. Місце, яким виїжджають звідки-небудь. При виїзді з села дорога була перекопана ровом, збоку горіло вогнище На виїзді з балки кінь поворушив ніздрями, наставив уперед вуха й почав наддавати ходу 3. Коні з екіпажем, упряжжю, збруєю. В селі не треба питати, де, в якій хаті весілля. Його видно здалеку, його чути на всю околицю. Видно по виїздах, що запруджують мало не всю вулицю У нього було два виїзди — кабріолет і тильбюрі"	
вказівник	+	-	3	к	аіи	и	ник	NOT FOUND	
вклад	-	+	1	д	а	а		"у, 1. Грошова сума, внесена на збереження до ощадної каси або державного банку. 2. перен., рідко. Те саме, що внесок 2"	
вміст	-	+	1	ст	і	і		"(УМІСТ), у, 1. Те, що є, міститься в чому-небудь. 2. Наявність якої-небудь речовини в складі чого-небудь. //  Кількість якоїсь речовини в складі чого-небудь"	абстрактное понятие
внесок	-	+	2	к	ео	о	ок	"ску, 1. Гроші, які хтось сплачує організації, установі тощо. Кошти партії та її організацій складаються з членських внесків, доходів від підприємств партії та інших надходжень 2. перен. Що-небудь цінне, внесене в громадську справу, науку, літературу і т. ін. Найбільшим внеском Б. Д. Грінченка в українську демократичну культуру.. є складений ним і виданий у 1907—1909 рр. «Словарь української мови»  Робити (зробити) внесок у що — своєю працею сприяти розвиткові науки, культури тощо. Значний внесок у справу створення професіонального українського театру зробив Тарас Григорович Шевченко"	
вогонь	-	+	2	нь	оо	о		"(розм. ОГО́НЬ), гню, 1. тільки одн. Розжарені гази, що виділяються під час горіння й світяться сліпучим світлом; полум'я. У великих печах палав такий вогонь, що аж на вулиці ставало душно Підкинули іще одно поліно, Воно стріляло, схоплене вогнем  * У порівняннях. — До вас гості наїхали! — Які? — питаю, а саму як огнем обхопило  Мандрівний (блукаючий) вогонь — блідо-синє світіння, що виникає під час згоряння болотного газу — метану. Розповів [Тихозоров] про блукаючі вогні на болоті, про фіолетові плями на воді ♦ Боятися (стерегтися) як вогню — дуже боятися, стерегтися. Козаки його [пана] стереглись як огню В завкомі його бояться як вогню Вогнем дихати на кого — дуже сердитися на кого-небудь. [Харитина:] Бачу і серцем чую, що тут всі против мене вогнем дишуть Вогнем і мечем, книжн. — з нещадною жорстокістю, знищуючи все. То було померше село, може, ще старіше, ніж була Вербівка, може, знесене татарським або польським мечем та вогнем Іти (йти, піти) [і] у вогонь і [у] воду за ким, з ким — іти на все, на будь-який самовідданий учинок заради кого-небудь. Їхній генерал, улюблений Олександр Васильович [Суворов], що завжди поділяв з ними всі злигодні бойового життя, полководець, з яким вони раді були йти і у вогонь і в воду, — він і тепер з ними, у самому пеклі бою Верховодив [Федя] над усіма хлопчаками.., які йшли за своїм отаманом у вогонь і у воду За Брянським Багіров справді, не вагаючись, пішов би в вогонь і воду Гратися (грати) з вогнем — поводитися необережно, здійснювати що-небудь небезпечне. — Я приїхав попередити, щоб ви.. покинули гратися з вогнем, бо потім пізно буде! Ще ваше щастя, що більших безчинств не зробили Він за ганебне діло взявся: з вогнем шпигун небесний грав. З землі Америки він знявся, а на радянську землю впав Диму без вогню не буває (немає) — на все є своя причина. Кожен давню правду знав: Диму без вогню немає З вогню [та] в полум'я — з однієї неприємності в іншу, що більшу. З вогню він потрапив у полум'я. Втікав з баржі, щоб не бути розстріляним у Ванні, і ось примандрував сам до цього проклятого Ванна, щоб його спіймали тут, як мишу, й розстріляли тепер уже напевне Кидати вогнем (блискавицею) — сердитись на когось, погрожувати; Між двох вогнів — про безвихідне, скрутне становище, коли небезпека загрожує з обох боків. Виходить, між двох вогнів опинилася [Марина]. З одного боку — молодий Гризота, а з другого — Баско Підливати (підлити) масла у вогонь див. підливати; Пройти вогонь і воду — багато всього пережити, зазнати; мати складне, небездоганне минуле. [Кость:] Страх не люблю отих «глиб око розумних», надто спритних, що пройшли вогонь і воду Чужими руками вогонь загортати див. загортати; Як (мов і т. ін.) вогонь з водою хто з ким — хтось перебуває в непримиренних стосунках з кимсь. 2. тільки одн., перен. Душевне піднесення, натхнення. Та не має такої сили мій вогонь! І от чому він не потішив мене в моїй тузі великій Біля чийогось двору гурт. Власне, який і гурт: Грицько-гармоніст. — Е, мало лишилось од того колишнього Грицька — занепав зовсім: не ті вже кучері з-під кашкета.. Та й у грі — нема вогню, ледве пілікає //  чого і без додатка. Пристрасть, запал. [Кречет:] Коли вогонь шукання гасне... холоне серце від утоми В огнем, жагою, пориванням Вона [М. К. Заньковецька] серця палила всім, Страждання граючи, стражданням Сама була вона живим //  Про того, хто має дуже енергійну, запальну вдачу. Параска в її літа вогонь-дівка була. Весела, співлива... — Вогонь, не дівчина, — сказав Зуб.. В неї горить усе під руками 3. Те саме, що вогнище 1. Коло одного шатра горить багаття, висить казанок, а коло вогню сидить циганка в червоній хустці на голові [Лев:] От ліпше хмизу пошукай по лісі та розпали вогонь Не доходячи до байрака, він помічає у густоліссі, не так далеко від смолокурні, золотий кущик вогню 4. Світло сонця, освітлювальних приладів. О. Хведор підняв чарку проти свічки. Кришталева чарка неначе засміялась проти вогню Темно по хатах. Тільки в Матюхи всі вікна в огнях Повільно врізалися [новобудови] в тайги сліпучими лезами електричних вогнів //  перен. Блиск очей, що звичайно відображає якийсь внутрішній стан людини. Музо винозора, не сліпи Мене вогнем твоїх очей безсмертних! Очі йому горять упертим вогнем 5. тільки одн., розм. Про жар, підвищену температуру тіла. [Комісар:] Важко, товариші... Вогонь пішов у ноги, руки, у жилах розійшовся... Пекла і вогнем розливалася рана У лівім плечі під корою бинтів 6. тільки одн. Стрільба з гвинтівок, гармат і т. ін. Справа і зліва озвалися кулемети, взялися люто сікти по мосту перехресним вогнем — Як я команду дам, щоб огонь відкривали? Горло ж зовсім захрипло 7. у знач. виг. Військова команда для здійснення пострілу; наказ стріляти. [Сергій:] Дужче вогонь! Дужче!.. Чекаленко, третій шрапнеллю! Один з солдатів раптом скочив на вікно, розбив його кулаком і подав команду: — Вогонь!"	
